Similarity;Nb tokens;File;First line;Last line
[CODE-MAX]_26;6;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobOutputProxy.cpp;132;135
[CODE-MAX]_26;6;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/JobOutputServer.cpp;90;93
[CODE-MAX]_26;6;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/JobOutputServer.cpp;93;96
[CODE-MAX]_26;6;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/JobServer.cpp;206;209
[CODE-MAX]_27;31;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobOutputProxy.cpp;194;199
[CODE-MAX]_27;31;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;87;91
[CODE-MAX]_27;31;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;221;225
[CODE-MAX]_28;25;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobOutputProxy.cpp;121;127
[CODE-MAX]_28;25;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobOutputProxy.cpp;135;143
[CODE-MAX]_29;14;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobOutputProxy.cpp;256;262
[CODE-MAX]_29;14;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;162;170
[CODE-MAX]_30;22;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobOutputProxy.cpp;88;94
[CODE-MAX]_30;22;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobOutputProxy.cpp;199;205
[CODE-MAX]_31;29;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;77;83
[CODE-MAX]_31;29;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;148;154
[CODE-MAX]_32;11;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/displayer.cpp;360;363
[CODE-MAX]_32;11;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/displayer.cpp;365;369
[CODE-MAX]_32;11;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/displayer.cpp;572;575
[CODE-MAX]_33;22;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;67;72
[CODE-MAX]_33;22;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/client/JobProxy.cpp;77;83
[CODE-MAX]_34;9;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/displayer.cpp;70;73
[CODE-MAX]_34;9;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/displayer.cpp;119;122
[CODE-MAX]_34;9;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/cli/displayer.cpp;175;178
[CODE-MAX]_35;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/server/JobOutputServer.cpp;99;103
[CODE-MAX]_35;7;C:/DemoSQuoRE/C++/SysFera/VISHNU/VISHNU_1.1.0/TMS/src/slave/slave.cpp;94;99
